VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2023-03-01T08:00:00.000000,2023-03-01T08:43:00.000000,1,16.2,1,N,132,161,1,43.38,0.5,0.5,0,6.55,0.3,51.23
1,2023-03-01T08:09:00.000000,2023-03-01T08:56:00.000000,2,17.0,1,N,132,230,1,46.0,0.5,0.5,4.6,6.55,0.3,58.45
1,2023-03-01T08:18:00.000000,2023-03-01T08:32:00.000000,3,2.1,1,N,43,161,1,10.94,0.5,0.5,1.31,0,0.3,13.55
1,2023-03-01T08:27:00.000000,2023-03-01T08:48:00.000000,4,4.5,1,N,74,161,1,17.4,0.5,0.5,2.44,0,0.3,21.14
1,2023-03-01T08:36:00.000000,2023-03-01T08:52:00.000000,1,1.7,1,N,161,230,1,11.38,0.5,0.5,0.91,0,0.3,13.59
1,2023-03-01T08:45:00.000000,2023-03-01T09:30:00.000000,2,16.8,1,N,186,132,1,44.82,0.5,0.5,4.48,6.55,0.3,57.15
1,2023-03-01T08:54:00.000000,2023-03-01T09:08:00.000000,3,2.9,1,N,230,43,1,12.16,0.5,0.5,0,0,0.3,13.46
1,2023-03-01T09:03:00.000000,2023-03-01T09:47:00.000000,4,15.3,1,N,1,161,1,42.62,0.5,0.5,5.97,6.55,0.3,56.44
1,2023-03-01T09:12:00.000000,2023-03-01T09:25:00.000000,1,1.1,1,N,161,162,1,9.24,0.5,0.5,0.74,0,0.3,11.28
1,2023-03-01T09:21:00.000000,2023-03-01T09:40:00.000000,2,3.2,1,N,74,43,1,14.98,0.5,0.5,1.5,0,0.3,17.78
1,2023-03-01T09:30:00.000000,2023-03-01T10:14:00.000000,3,16.4,1,N,132,186,1,43.86,0.5,0.5,5.26,6.55,0.3,56.97
1,2023-03-01T09:39:00.000000,2023-03-01T09:53:00.000000,4,2.8,1,N,43,230,1,11.92,0.5,0.5,1.67,0,0.3,14.89
1,2023-03-01T09:48:00.000000,2023-03-01T10:34:00.000000,1,16.1,1,N,161,132,1,44.54,0.5,0.5,0,6.55,0.3,52.39
1,2023-03-01T09:57:00.000000,2023-03-01T10:11:00.000000,2,1.4,1,N,230,186,1,9.96,0.5,0.5,1.0,0,0.3,12.26
1,2023-03-01T10:06:00.000000,2023-03-01T10:25:00.000000,3,3.1,1,N,43,74,1,14.74,0.5,0.5,1.77,0,0.3,17.81
1,2023-03-01T10:15:00.000000,2023-03-01T10:58:00.000000,4,16.2,1,N,132,161,1,43.38,0.5,0.5,6.07,6.55,0.3,57.3
1,2023-03-01T10:24:00.000000,2023-03-01T11:11:00.000000,1,17.0,1,N,132,230,1,46.0,0.5,0.5,3.68,6.55,0.3,57.53
1,2023-03-01T10:33:00.000000,2023-03-01T10:47:00.000000,2,2.1,1,N,43,161,1,10.94,0.5,0.5,1.09,0,0.3,13.33
1,2023-03-01T10:42:00.000000,2023-03-01T11:03:00.000000,3,4.5,1,N,74,161,1,17.4,0.5,0.5,0,0,0.3,18.7
1,2023-03-01T10:51:00.000000,2023-03-01T11:07:00.000000,4,1.7,1,N,161,230,1,11.38,0.5,0.5,1.59,0,0.3,14.27
1,2023-03-01T11:00:00.000000,2023-03-01T11:45:00.000000,1,16.8,1,N,186,132,1,44.82,0.5,0.5,3.59,6.55,0.3,56.26
1,2023-03-01T11:09:00.000000,2023-03-01T11:23:00.000000,2,2.9,1,N,230,43,1,12.16,0.5,0.5,1.22,0,0.3,14.68
1,2023-03-01T11:18:00.000000,2023-03-01T12:02:00.000000,3,15.3,1,N,1,161,1,42.62,0.5,0.5,5.11,6.55,0.3,55.58
1,2023-03-01T11:27:00.000000,2023-03-01T11:40:00.000000,4,1.1,1,N,161,162,1,9.24,0.5,0.5,1.29,0,0.3,11.83
1,2023-03-01T11:36:00.000000,2023-03-01T11:55:00.000000,1,3.2,1,N,74,43,1,14.98,0.5,0.5,0,0,0.3,16.28
1,2023-03-01T11:45:00.000000,2023-03-01T12:29:00.000000,2,16.4,1,N,132,186,1,43.86,0.5,0.5,4.39,6.55,0.3,56.1
1,2023-03-01T11:54:00.000000,2023-03-01T12:08:00.000000,3,2.8,1,N,43,230,1,11.92,0.5,0.5,1.43,0,0.3,14.65
1,2023-03-01T12:03:00.000000,2023-03-01T12:49:00.000000,4,16.1,1,N,161,132,1,44.54,0.5,0.5,6.24,6.55,0.3,58.63
1,2023-03-01T12:12:00.000000,2023-03-01T12:26:00.000000,1,1.4,1,N,230,186,1,9.96,0.5,0.5,0.8,0,0.3,12.06
1,2023-03-01T12:21:00.000000,2023-03-01T12:40:00.000000,2,3.1,1,N,43,74,1,14.74,0.5,0.5,1.47,0,0.3,17.51
1,2023-03-01T12:30:00.000000,2023-03-01T13:13:00.000000,3,16.2,1,N,132,161,1,43.38,0.5,0.5,0,6.55,0.3,51.23
1,2023-03-01T12:39:00.000000,2023-03-01T13:26:00.000000,4,17.0,1,N,132,230,1,46.0,0.5,0.5,6.44,6.55,0.3,60.29
1,2023-03-01T12:48:00.000000,2023-03-01T13:02:00.000000,1,2.1,1,N,43,161,1,10.94,0.5,0.5,0.88,0,0.3,13.12
1,2023-03-01T12:57:00.000000,2023-03-01T13:18:00.000000,2,4.5,1,N,74,161,1,17.4,0.5,0.5,1.74,0,0.3,20.44
1,2023-03-01T13:06:00.000000,2023-03-01T13:22:00.000000,3,1.7,1,N,161,230,1,11.38,0.5,0.5,1.37,0,0.3,14.05
1,2023-03-01T13:15:00.000000,2023-03-01T14:00:00.000000,4,16.8,1,N,186,132,1,44.82,0.5,0.5,6.27,6.55,0.3,58.94
1,2023-03-01T13:24:00.000000,2023-03-01T13:38:00.000000,1,2.9,1,N,230,43,1,12.16,0.5,0.5,0,0,0.3,13.46
1,2023-03-01T13:33:00.000000,2023-03-01T14:17:00.000000,2,15.3,1,N,1,161,1,42.62,0.5,0.5,4.26,6.55,0.3,54.73
1,2023-03-01T13:42:00.000000,2023-03-01T13:55:00.000000,3,1.1,1,N,161,162,1,9.24,0.5,0.5,1.11,0,0.3,11.65
1,2023-03-01T13:51:00.000000,2023-03-01T14:10:00.000000,4,3.2,1,N,74,43,1,14.98,0.5,0.5,2.1,0,0.3,18.38
1,2023-03-01T14:00:00.000000,2023-03-01T14:44:00.000000,1,16.4,1,N,132,186,1,43.86,0.5,0.5,3.51,6.55,0.3,55.22
1,2023-03-01T14:09:00.000000,2023-03-01T14:23:00.000000,2,2.8,1,N,43,230,1,11.92,0.5,0.5,1.19,0,0.3,14.41
1,2023-03-01T14:18:00.000000,2023-03-01T15:04:00.000000,3,16.1,1,N,161,132,1,44.54,0.5,0.5,0,6.55,0.3,52.39
1,2023-03-01T14:27:00.000000,2023-03-01T14:41:00.000000,4,1.4,1,N,230,186,1,9.96,0.5,0.5,1.39,0,0.3,12.65
1,2023-03-01T14:36:00.000000,2023-03-01T14:55:00.000000,1,3.1,1,N,43,74,1,14.74,0.5,0.5,1.18,0,0.3,17.22
1,2023-03-01T14:45:00.000000,2023-03-01T15:28:00.000000,2,16.2,1,N,132,161,1,43.38,0.5,0.5,4.34,6.55,0.3,55.57
1,2023-03-01T14:54:00.000000,2023-03-01T15:41:00.000000,3,17.0,1,N,132,230,1,46.0,0.5,0.5,5.52,6.55,0.3,59.37
1,2023-03-01T15:03:00.000000,2023-03-01T15:17:00.000000,4,2.1,1,N,43,161,1,10.94,0.5,0.5,1.53,0,0.3,13.77
1,2023-03-01T15:12:00.000000,2023-03-01T15:33:00.000000,1,4.5,1,N,74,161,1,17.4,0.5,0.5,0,0,0.3,18.7
1,2023-03-01T15:21:00.000000,2023-03-01T15:37:00.000000,2,1.7,1,N,161,230,1,11.38,0.5,0.5,1.14,0,0.3,13.82
1,2023-03-01T15:30:00.000000,2023-03-01T16:15:00.000000,3,16.8,1,N,186,132,1,44.82,0.5,0.5,5.38,6.55,0.3,58.05
1,2023-03-01T15:39:00.000000,2023-03-01T15:53:00.000000,4,2.9,1,N,230,43,1,12.16,0.5,0.5,1.7,0,0.3,15.16
1,2023-03-01T15:48:00.000000,2023-03-01T16:32:00.000000,1,15.3,1,N,1,161,1,42.62,0.5,0.5,3.41,6.55,0.3,53.88
1,2023-03-01T15:57:00.000000,2023-03-01T16:10:00.000000,2,1.1,1,N,161,162,1,9.24,0.5,0.5,0.92,0,0.3,11.46
1,2023-03-01T16:06:00.000000,2023-03-01T16:25:00.000000,3,3.2,1,N,74,43,1,14.98,0.5,0.5,0,0,0.3,16.28
1,2023-03-01T16:15:00.000000,2023-03-01T16:59:00.000000,4,16.4,1,N,132,186,1,43.86,0.5,0.5,6.14,6.55,0.3,57.85
1,2023-03-01T16:24:00.000000,2023-03-01T16:38:00.000000,1,2.8,1,N,43,230,1,11.92,0.5,0.5,0.95,0,0.3,14.17
1,2023-03-01T16:33:00.000000,2023-03-01T17:19:00.000000,2,16.1,1,N,161,132,1,44.54,0.5,0.5,4.45,6.55,0.3,56.84
1,2023-03-01T16:42:00.000000,2023-03-01T16:56:00.000000,3,1.4,1,N,230,186,1,9.96,0.5,0.5,1.2,0,0.3,12.46
1,2023-03-01T16:51:00.000000,2023-03-01T17:10:00.000000,4,3.1,1,N,43,74,1,14.74,0.5,0.5,2.06,0,0.3,18.1
